id,aoi,obj_type,name,info,simplified,damage_gra,damage_class,damage_percent,det_method,notation,or_src_id,dmg_src_id,centroid_lat,centroid_lon,google_maps_url
ems_00050,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.25050465,-68.83814135,"https://www.google.com/maps/search/?api=1&query=10.25050465,-68.83814135"
ems_00051,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.25084545,-68.84444725,"https://www.google.com/maps/search/?api=1&query=10.25084545,-68.84444725"
ems_00052,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.25088102,-68.84449568,"https://www.google.com/maps/search/?api=1&query=10.25088102,-68.84449568"
ems_00053,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.25093986,-68.83733966,"https://www.google.com/maps/search/?api=1&query=10.25093986,-68.83733966"
ems_00054,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.2509401,-68.83726225,"https://www.google.com/maps/search/?api=1&query=10.2509401,-68.83726225"
ems_00055,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.25098175,-68.83724255,"https://www.google.com/maps/search/?api=1&query=10.25098175,-68.83724255"
ems_00056,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.2519109,-68.82588365,"https://www.google.com/maps/search/?api=1&query=10.2519109,-68.82588365"
ems_00057,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.25208132,-68.84016501,"https://www.google.com/maps/search/?api=1&query=10.25208132,-68.84016501"
ems_00058,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.25229109,-68.82521102,"https://www.google.com/maps/search/?api=1&query=10.25229109,-68.82521102"
ems_00059,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.25240663,-68.8416886,"https://www.google.com/maps/search/?api=1&query=10.25240663,-68.8416886"
