id,aoi,obj_type,name,info,simplified,damage_gra,damage_class,damage_percent,det_method,notation,or_src_id,dmg_src_id,centroid_lat,centroid_lon,google_maps_url
ems_00196,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,2,3,10.60819735,-67.02073525,"https://www.google.com/maps/search/?api=1&query=10.60819735,-67.02073525"
ems_00197,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Damaged,damaged,70,Photo-interpretation,Building point,2,3,10.60841618,-67.02137465,"https://www.google.com/maps/search/?api=1&query=10.60841618,-67.02137465"
ems_00198,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.608489,-67.01993975,"https://www.google.com/maps/search/?api=1&query=10.608489,-67.01993975"
ems_00199,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60874792,-67.02229921,"https://www.google.com/maps/search/?api=1&query=10.60874792,-67.02229921"
ems_00200,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.60901692,-67.02230991,"https://www.google.com/maps/search/?api=1&query=10.60901692,-67.02230991"
ems_00201,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,2,3,10.60417266,-67.0247595,"https://www.google.com/maps/search/?api=1&query=10.60417266,-67.0247595"
ems_00202,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60440003,-67.02937791,"https://www.google.com/maps/search/?api=1&query=10.60440003,-67.02937791"
ems_00203,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60444116,-67.02449869,"https://www.google.com/maps/search/?api=1&query=10.60444116,-67.02449869"
ems_00204,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60448226,-67.02937537,"https://www.google.com/maps/search/?api=1&query=10.60448226,-67.02937537"
ems_00205,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Destroyed,destroyed,100,Photo-interpretation,Building point,2,3,10.60480413,-67.02748479,"https://www.google.com/maps/search/?api=1&query=10.60480413,-67.02748479"
