id,damage_gra,damage_class,damage_percent,cd_value,obj_type,name,info,simplified,det_method,notation,source_layer,source_geometry,monitor_version,centroid_lat,centroid_lon,google_maps_url
monit01_00067,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48974563,-68.18730893,"https://www.google.com/maps/search/?api=1&query=10.48974563,-68.18730893"
monit01_00068,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48980837,-68.1899946,"https://www.google.com/maps/search/?api=1&query=10.48980837,-68.1899946"
monit01_00069,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48959111,-68.19674727,"https://www.google.com/maps/search/?api=1&query=10.48959111,-68.19674727"
monit01_00070,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48979342,-68.19841281,"https://www.google.com/maps/search/?api=1&query=10.48979342,-68.19841281"
monit01_00071,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48985985,-68.19560905,"https://www.google.com/maps/search/?api=1&query=10.48985985,-68.19560905"
monit01_00072,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48991871,-68.19841591,"https://www.google.com/maps/search/?api=1&query=10.48991871,-68.19841591"
monit01_00073,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48999614,-68.19824384,"https://www.google.com/maps/search/?api=1&query=10.48999614,-68.19824384"
monit01_00074,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.49003517,-68.19550075,"https://www.google.com/maps/search/?api=1&query=10.49003517,-68.19550075"
monit01_00075,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.49011705,-68.19541075,"https://www.google.com/maps/search/?api=1&query=10.49011705,-68.19541075"
monit01_00076,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.49015097,-68.19790199,"https://www.google.com/maps/search/?api=1&query=10.49015097,-68.19790199"
monit01_00077,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.49020201,-68.19539262,"https://www.google.com/maps/search/?api=1&query=10.49020201,-68.19539262"
monit01_00078,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.4902421,-68.1951491,"https://www.google.com/maps/search/?api=1&query=10.4902421,-68.1951491"
monit01_00079,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.49030439,-68.19681705,"https://www.google.com/maps/search/?api=1&query=10.49030439,-68.19681705"
monit01_00080,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.49281992,-68.19579054,"https://www.google.com/maps/search/?api=1&query=10.49281992,-68.19579054"
monit01_00081,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.49474248,-68.19621851,"https://www.google.com/maps/search/?api=1&query=10.49474248,-68.19621851"
monit01_00082,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.50086933,-68.19423487,"https://www.google.com/maps/search/?api=1&query=10.50086933,-68.19423487"
monit01_00083,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.4898129,-68.18987885,"https://www.google.com/maps/search/?api=1&query=10.4898129,-68.18987885"
monit01_00084,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.4907791,-68.1939078,"https://www.google.com/maps/search/?api=1&query=10.4907791,-68.1939078"
monit01_00085,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.49109963,-68.18892309,"https://www.google.com/maps/search/?api=1&query=10.49109963,-68.18892309"
monit01_00086,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.49112328,-68.18868459,"https://www.google.com/maps/search/?api=1&query=10.49112328,-68.18868459"
monit01_00087,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.49557802,-68.18247949,"https://www.google.com/maps/search/?api=1&query=10.49557802,-68.18247949"
monit01_00088,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.49595695,-68.1833702,"https://www.google.com/maps/search/?api=1&query=10.49595695,-68.1833702"
monit01_00089,Destroyed,destroyed,100,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.4972802,-68.19370048,"https://www.google.com/maps/search/?api=1&query=10.4972802,-68.19370048"
monit01_00090,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.4974539,-68.19162127,"https://www.google.com/maps/search/?api=1&query=10.4974539,-68.19162127"
monit01_00091,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.49851485,-68.1869715,"https://www.google.com/maps/search/?api=1&query=10.49851485,-68.1869715"
monit01_00092,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.51156895,-68.18755806,"https://www.google.com/maps/search/?api=1&query=10.51156895,-68.18755806"
monit01_00093,Destroyed,destroyed,100,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.51489721,-68.19126529,"https://www.google.com/maps/search/?api=1&query=10.51489721,-68.19126529"
monit01_00094,Destroyed,destroyed,100,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.51553841,-68.18969061,"https://www.google.com/maps/search/?api=1&query=10.51553841,-68.18969061"
monit01_00095,Destroyed,destroyed,100,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.51569352,-68.1895903,"https://www.google.com/maps/search/?api=1&query=10.51569352,-68.1895903"
monit01_00096,Destroyed,destroyed,100,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.51597797,-68.1898809,"https://www.google.com/maps/search/?api=1&query=10.51597797,-68.1898809"
