id,aoi,obj_type,name,info,simplified,damage_gra,damage_class,damage_percent,det_method,notation,or_src_id,dmg_src_id,centroid_lat,centroid_lon,google_maps_url
ems_00074,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.49694115875,-68.17805627375,"https://www.google.com/maps/search/?api=1&query=10.49694115875,-68.17805627375"
ems_00075,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.497877916153847,-68.17630604538462,"https://www.google.com/maps/search/?api=1&query=10.497877916153847,-68.17630604538462"
ems_00076,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.498769068095239,-68.17737736857143,"https://www.google.com/maps/search/?api=1&query=10.498769068095239,-68.17737736857143"
ems_00077,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.487071220625,-68.188939274375,"https://www.google.com/maps/search/?api=1&query=10.487071220625,-68.188939274375"
ems_00078,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.487173036875,-68.18909846375,"https://www.google.com/maps/search/?api=1&query=10.487173036875,-68.18909846375"
ems_00079,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.487252945263158,-68.18931907,"https://www.google.com/maps/search/?api=1&query=10.487252945263158,-68.18931907"
ems_00080,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.487759043,-68.18844132699999,"https://www.google.com/maps/search/?api=1&query=10.487759043,-68.18844132699999"
ems_00081,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,2,10.490137507777778,-68.18530875444445,"https://www.google.com/maps/search/?api=1&query=10.490137507777778,-68.18530875444445"
ems_00082,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.491377188235294,-68.18634608294118,"https://www.google.com/maps/search/?api=1&query=10.491377188235294,-68.18634608294118"
ems_00083,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.493038993999999,-68.180182024,"https://www.google.com/maps/search/?api=1&query=10.493038993999999,-68.180182024"
ems_00084,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.4947753325,-68.18909268145833,"https://www.google.com/maps/search/?api=1&query=10.4947753325,-68.18909268145833"
ems_00085,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,2,10.49525655025,-68.178881475,"https://www.google.com/maps/search/?api=1&query=10.49525655025,-68.178881475"
ems_00086,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,2,10.495745287692309,-68.18277354153847,"https://www.google.com/maps/search/?api=1&query=10.495745287692309,-68.18277354153847"
ems_00087,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.498271463333333,-68.18156839166667,"https://www.google.com/maps/search/?api=1&query=10.498271463333333,-68.18156839166667"
ems_00088,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.498175757999999,-68.18494679775,"https://www.google.com/maps/search/?api=1&query=10.498175757999999,-68.18494679775"
ems_00089,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.498592875128205,-68.18624826333334,"https://www.google.com/maps/search/?api=1&query=10.498592875128205,-68.18624826333334"
ems_00090,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.498727986,-68.18667960924999,"https://www.google.com/maps/search/?api=1&query=10.498727986,-68.18667960924999"
ems_00091,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.498714184210527,-68.17937722526317,"https://www.google.com/maps/search/?api=1&query=10.498714184210527,-68.17937722526317"
